FrameCounter,Timestamp,LedState,Stimulation,Output0,Output1,Input0,Input1,Region0G
7425,193.0936,2,0,1,0,0,0,0.0273324197187322
7427,193.126912,2,0,1,0,0,0,0.0272849954493624
7429,193.160256,2,0,1,0,0,0,0.0277934115136362
7431,193.1936,2,0,1,0,0,0,0.0279398688161019
7433,193.226912,2,0,1,0,0,0,0.0279391714003759
7435,193.260256,2,0,1,0,0,0,0.0278994187039924
7437,193.2936,2,0,1,0,0,0,0.028018676793143
7439,193.326912,2,0,1,0,0,0,0.0280807467927594
7441,193.360256,2,0,1,0,0,0,0.0281822207808964
7443,193.393568,2,0,1,0,0,0,0.0278743117378554
7445,193.426912,2,0,1,0,0,0,0.0280385531413348
7447,193.460256,2,0,1,0,0,0,0.0279179002207321
7449,193.493568,2,0,1,0,0,0,0.0280319276919375
7451,193.526912,2,0,1,0,0,0,0.0281916358931978
7453,193.560256,2,0,1,0,0,0,0.0281278223542663
7455,193.593568,2,0,1,0,0,0,0.028145955163143
7457,193.626912,2,0,1,0,0,0,0.0280570346580745
7459,193.660256,2,0,1,0,0,0,0.0280737726354992
7461,193.693568,2,0,1,0,0,0,0.0278736143221293
7463,193.726912,2,0,1,0,0,0,0.0283101965666224
7465,193.760224,2,0,1,0,0,0,0.0281236378599101
7467,193.793568,2,0,1,0,0,0,0.0281822207808964
7469,193.826912,2,0,1,0,0,0,0.0279865956697458
7471,193.860224,2,0,1,0,0,0,0.0279607912878827
7473,193.893568,2,0,1,0,0,0,0.0278352564571979
7475,193.926912,2,0,1,0,0,0,0.027787134772102
7477,193.960224,2,0,1,0,0,0,0.028044481175006
7479,193.993568,2,0,1,0,0,0,0.0280078668493896
7481,194.02688,2,0,1,0,0,0,0.0279231308386773
7483,194.060224,2,0,1,0,0,0,0.0277278544353897
7485,194.093568,2,0,1,0,0,0,0.0278889574681019
7487,194.12688,2,0,1,0,0,0,0.0280504092086772
7489,194.160224,2,0,1,0,0,0,0.0280856287028416
7491,194.193568,2,0,1,0,0,0,0.0279053467376636
7493,194.22688,2,0,1,0,0,0,0.0279838060068416
7495,194.260224,2,0,1,0,0,0,0.02794196106328
7497,194.293536,2,0,1,0,0,0,0.0279102286477458
7499,194.32688,2,0,1,0,0,0,0.0287188821820743
7501,194.360224,2,0,1,0,0,0,0.0293061062233892
7503,194.393536,2,0,1,0,0,0,0.0295944876261015
7505,194.42688,2,0,1,0,0,0,0.0286878471822661
7507,194.460224,2,0,1,0,0,0,0.0292900656616906
7509,194.493536,2,0,1,0,0,0,0.0292520565046221
7511,194.52688,2,0,1,0,0,0,0.0291575566737454
7513,194.560192,2,0,1,0,0,0,0.0285982292614716
7515,194.593536,2,0,1,0,0,0,0.0288043156085127
7517,194.62688,2,0,1,0,0,0,0.028761773249225
7519,194.660192,2,0,1,0,0,0,0.0285738197110607
7521,194.693536,2,0,1,0,0,0,0.0282927611734717
7523,194.726848,2,0,1,0,0,0,0.0287084209461839
7525,194.760192,2,0,1,0,0,0,0.029095137966266
7527,194.793536,2,0,1,0,0,0,0.0289709979670332
7529,194.826848,2,0,1,0,0,0,0.0292475233024029
7531,194.860192,2,0,1,0,0,0,0.0288618524059099
