FrameCounter,Timestamp,LedState,Stimulation,Output0,Output1,Input0,Input1,Region0G
7426,6952.960288,1,0,1,0,0,0,0.014752086
7428,6952.9936,1,0,1,0,0,0,0.014798813
7430,6953.026944,1,0,1,0,0,0,0.014844145
7432,6953.060288,1,0,1,0,0,0,0.014574943
7434,6953.0936,1,0,1,0,0,0,0.014467541
7436,6953.126944,1,0,1,0,0,0,0.01471861
7438,6953.160256,1,0,1,0,0,0,0.014591681
7440,6953.1936,1,0,1,0,0,0,0.014621321
7442,6953.226944,1,0,1,0,0,0,0.014811366
7444,6953.260256,1,0,1,0,0,0,0.014840658
7446,6953.2936,1,0,1,0,0,0,0.014913538
7448,6953.326944,1,0,1,0,0,0,0.014688273
7450,6953.360256,1,0,1,0,0,0,0.014574943
7452,6953.3936,1,0,1,0,0,0,0.014439993
7454,6953.426944,1,0,1,0,0,0,0.014415932
7456,6953.460256,1,0,1,0,0,0,0.014413491
7458,6953.4936,1,0,1,0,0,0,0.014333637
7460,6953.526912,1,0,1,0,0,0,0.01438664
7462,6953.560256,1,0,1,0,0,0,0.014490555
7464,6953.5936,1,0,1,0,0,0,0.014685134
7466,6953.626912,1,0,1,0,0,0,0.01451636
7468,6953.660256,1,0,1,0,0,0,0.014415583
7470,6953.693568,1,0,1,0,0,0,0.014281331
7472,6953.726912,1,0,1,0,0,0,0.01424088
7474,6953.760256,1,0,1,0,0,0,0.014264941
7476,6953.793568,1,0,1,0,0,0,0.014332591
7478,6953.826912,1,0,1,0,0,0,0.014369902
7480,6953.860256,1,0,1,0,0,0,0.014693852
7482,6953.893568,1,0,1,0,0,0,0.014611906
7484,6953.926912,1,0,1,0,0,0,0.014869601
7486,6953.960224,1,0,1,0,0,0,0.014652007
7488,6953.993568,1,0,1,0,0,0,0.014836125
7490,6954.026912,1,0,1,0,0,0,0.014678857
7492,6954.060224,1,0,1,0,0,0,0.014784865
7494,6954.093568,1,0,1,0,0,0,0.014780331
7496,6954.126912,1,0,1,0,0,0,0.014591681
7498,6954.160224,1,0,1,0,0,0,0.014700129
7500,6954.193568,1,0,1,0,0,0,0.014445572
7502,6954.226912,1,0,1,0,0,0,0.014676765
7504,6954.260224,1,0,1,0,0,0,0.014805438
7506,6954.293568,1,0,1,0,0,0,0.0148023
7508,6954.32688,1,0,1,0,0,0,0.014880759
7510,6954.360224,1,0,1,0,0,0,0.015031401
7512,6954.393568,1,0,1,0,0,0,0.015089287
7514,6954.42688,1,0,1,0,0,0,0.015073595
7516,6954.460224,1,0,1,0,0,0,0.015045698
7518,6954.493536,1,0,1,0,0,0,0.015111604
7520,6954.52688,1,0,1,0,0,0,0.015031401
7522,6954.560224,1,0,1,0,0,0,0.014965147
7524,6954.593536,1,0,1,0,0,0,0.014920861
7526,6954.62688,1,0,1,0,0,0,0.014822176
7528,6954.660224,1,0,1,0,0,0,0.015070805
7530,6954.693536,1,0,1,0,0,0,0.015130783
7532,6954.72688,1,0,1,0,0,0,0.01502896
7534,6954.760224,1,0,1,0,0,0,0.014983628
7536,6954.793536,1,0,1,0,0,0,0.014639105
7538,6954.82688,1,0,1,0,0,0,0.014908656
7540,6954.860192,1,0,1,0,0,0,0.014746507
7542,6954.893536,1,0,1,0,0,0,0.014635618
7544,6954.92688,1,0,1,0,0,0,0.014813459
7546,6954.960192,1,0,1,0,0,0,0.014404773
7548,6954.993536,1,0,1,0,0,0,0.014702918
7550,6955.02688,1,0,1,0,0,0,0.014715472
7552,6955.060192,1,0,1,0,0,0,0.014525775
7554,6955.093536,1,0,1,0,0,0,0.014549138
7556,6955.126848,1,0,1,0,0,0,0.014803695
7558,6955.160192,1,0,1,0,0,0,0.014801254
7560,6955.193536,1,0,1,0,0,0,0.014717913
7562,6955.226848,1,0,1,0,0,0,0.014654099
7564,6955.260192,1,0,1,0,0,0,0.01465654
7566,6955.293504,1,0,1,0,0,0,0.014768824
7568,6955.326848,1,0,1,0,0,0,0.014706754
7570,6955.360192,1,0,1,0,0,0,0.014778937
7572,6955.393504,1,0,1,0,0,0,0.014736394
7574,6955.426848,1,0,1,0,0,0,0.014881108
7576,6955.460192,1,0,1,0,0,0,0.014899241
7578,6955.493504,1,0,1,0,0,0,0.014953639
7580,6955.526848,1,0,1,0,0,0,0.014952942
7582,6955.56016,1,0,1,0,0,0,0.014741276
7584,6955.593504,1,0,1,0,0,0,0.014566225
7586,6955.626848,1,0,1,0,0,0,0.014454638
7588,6955.66016,1,0,1,0,0,0,0.01436502
7590,6955.693504,1,0,1,0,0,0,0.014298069
7592,6955.726848,1,0,1,0,0,0,0.014361882
7594,6955.76016,1,0,1,0,0,0,0.014350723
7596,6955.793504,1,0,1,0,0,0,0.014461961
7598,6955.826816,1,0,1,0,0,0,0.014679904
7600,6955.86016,1,0,1,0,0,0,0.014882154
7602,6955.893504,1,0,1,0,0,0,0.014849724
7604,6955.926816,1,0,1,0,0,0,0.014693852
7606,6955.96016,1,0,1,0,0,0,0.014746158
7608,6955.993504,1,0,1,0,0,0,0.014482186
7610,6956.026816,1,0,1,0,0,0,0.014393266
7612,6956.06016,1,0,1,0,0,0,0.0144651
7614,6956.093504,1,0,1,0,0,0,0.014376179
7616,6956.126816,1,0,1,0,0,0,0.014452895
7618,6956.16016,1,0,1,0,0,0,0.014576337
7620,6956.193472,1,0,1,0,0,0,0.014774403
7622,6956.226816,1,0,1,0,0,0,0.014792188
7624,6956.260128,1,0,1,0,0,0,0.0148023
7626,6956.293472,1,0,1,0,0,0,0.014851468
7628,6956.326816,1,0,1,0,0,0,0.014862627
7630,6956.36016,1,0,1,0,0,0,0.014846586
7632,6956.393472,1,0,1,0,0,0,0.014798116
7634,6956.426816,1,0,1,0,0,0,0.014837868
7636,6956.460128,1,0,1,0,0,0,0.014913887
7638,6956.493472,1,0,1,0,0,0,0.014776496
7640,6956.526816,1,0,1,0,0,0,0.014894359
7642,6956.560128,1,0,1,0,0,0,0.01474023
7644,6956.593472,1,0,1,0,0,0,0.015028611
7646,6956.626784,1,0,1,0,0,0,0.015159377
7648,6956.660128,1,0,1,0,0,0,0.014886687
7650,6956.693472,1,0,1,0,0,0,0.014977003
7652,6956.726784,1,0,1,0,0,0,0.014894708
7654,6956.760128,1,0,1,0,0,0,0.014938994
7656,6956.793472,1,0,1,0,0,0,0.014731861
7658,6956.826784,1,0,1,0,0,0,0.014763245
7660,6956.860128,1,0,1,0,0,0,0.014880062
7662,6956.89344,1,0,1,0,0,0,0.014694898
7664,6956.926784,1,0,1,0,0,0,0.014963054
7666,6956.960128,1,0,1,0,0,0,0.014572502
7668,6956.99344,1,0,1,0,0,0,0.014452895
7670,6957.026784,1,0,1,0,0,0,0.014614347
7672,6957.060128,1,0,1,0,0,0,0.014330847
7674,6957.09344,1,0,1,0,0,0,0.014381758
7676,6957.126784,1,0,1,0,0,0,0.014684437
7678,6957.160096,1,0,1,0,0,0,0.014565876
7680,6957.19344,1,0,1,0,0,0,0.014536236
7682,6957.226784,1,0,1,0,0,0,0.014813459
7684,6957.260096,1,0,1,0,0,0,0.014654448
7686,6957.29344,1,0,1,0,0,0,0.014657238
7688,6957.326784,1,0,1,0,0,0,0.014388733
7690,6957.360096,1,0,1,0,0,0,0.014301556
7692,6957.39344,1,0,1,0,0,0,0.014483581
7694,6957.426784,1,0,1,0,0,0,0.014287259
7696,6957.460096,1,0,1,0,0,0,0.014587845
7698,6957.49344,1,0,1,0,0,0,0.014350375
7700,6957.526752,1,0,1,0,0,0,0.014325965
7702,6957.560096,1,0,1,0,0,0,0.014637361
7704,6957.59344,1,0,1,0,0,0,0.014461612
7706,6957.626752,1,0,1,0,0,0,0.014432321
7708,6957.660096,1,0,1,0,0,0,0.014638407
7710,6957.693408,1,0,1,0,0,0,0.01466735
7712,6957.726752,1,0,1,0,0,0,0.014633177
7714,6957.760096,1,0,1,0,0,0,0.014445572
7716,6957.793408,1,0,1,0,0,0,0.014331893
7718,6957.826752,1,0,1,0,0,0,0.014569015
7720,6957.860096,1,0,1,0,0,0,0.014317247
7722,6957.893408,1,0,1,0,0,0,0.014348282
7724,6957.926752,1,0,1,0,0,0,0.014548092
7726,6957.960064,1,0,1,0,0,0,0.014416978
7728,6957.993408,1,0,1,0,0,0,0.014504504
7730,6958.026752,1,0,1,0,0,0,0.014636315
7732,6958.060064,1,0,1,0,0,0,0.014456033
7734,6958.093408,1,0,1,0,0,0,0.014438598
7736,6958.12672,1,0,1,0,0,0,0.014484627
7738,6958.160064,1,0,1,0,0,0,0.014421511
7740,6958.193408,1,0,1,0,0,0,0.014476607
7742,6958.22672,1,0,1,0,0,0,0.01427331
7744,6958.260064,1,0,1,0,0,0,0.014479397
7746,6958.293408,1,0,1,0,0,0,0.014425347
7748,6958.32672,1,0,1,0,0,0,0.014357
7750,6958.360064,1,0,1,0,0,0,0.01434619
7752,6958.393408,1,0,1,0,0,0,0.014231814
7754,6958.42672,1,0,1,0,0,0,0.014615393
7756,6958.460064,1,0,1,0,0,0,0.014306786
7758,6958.493376,1,0,1,0,0,0,0.014502411
7760,6958.52672,1,0,1,0,0,0,0.014346539
7762,6958.560064,1,0,1,0,0,0,0.014308181
7764,6958.593376,1,0,1,0,0,0,0.014389779
7766,6958.62672,1,0,1,0,0,0,0.014373041
7768,6958.660064,1,0,1,0,0,0,0.01437862
7770,6958.693376,1,0,1,0,0,0,0.014410352
7772,6958.72672,1,0,1,0,0,0,0.014300161
7774,6958.760064,1,0,1,0,0,0,0.014472074
7776,6958.793376,1,0,1,0,0,0,0.014317945
7778,6958.82672,1,0,1,0,0,0,0.014246111
7780,6958.860032,1,0,1,0,0,0,0.014340611
7782,6958.893376,1,0,1,0,0,0,0.01428412
7784,6958.926688,1,0,1,0,0,0,0.014395707
7786,6958.960032,1,0,1,0,0,0,0.014393963
7788,6958.993376,1,0,1,0,0,0,0.014360836
7790,6959.02672,1,0,1,0,0,0,0.01438943
7792,6959.060032,1,0,1,0,0,0,0.014305043
7794,6959.093376,1,0,1,0,0,0,0.014362579
7796,6959.126688,1,0,1,0,0,0,0.014231814
7798,6959.160032,1,0,1,0,0,0,0.014253434
7800,6959.193376,1,0,1,0,0,0,0.01431655
7802,6959.226688,1,0,1,0,0,0,0.014230419
7804,6959.260032,1,0,1,0,0,0,0.014259711
7806,6959.293344,1,0,1,0,0,0,0.014442085
7808,6959.326688,1,0,1,0,0,0,0.014235999
7810,6959.360032,1,0,1,0,0,0,0.01468095
7812,6959.393344,1,0,1,0,0,0,0.014838914
7814,6959.426688,1,0,1,0,0,0,0.014430926
7816,6959.460032,1,0,1,0,0,0,0.014799162
7818,6959.493344,1,0,1,0,0,0,0.014692457
7820,6959.526688,1,0,1,0,0,0,0.014503457
7822,6959.56,1,0,1,0,0,0,0.014225886
7824,6959.593344,1,0,1,0,0,0,0.01430574
7826,6959.626688,1,0,1,0,0,0,0.014191713
7828,6959.66,1,0,1,0,0,0,0.014182297
7830,6959.693344,1,0,1,0,0,0,0.014239834
7832,6959.726688,1,0,1,0,0,0,0.01426808
7834,6959.76,1,0,1,0,0,0,0.014323524
7836,6959.793344,1,0,1,0,0,0,0.014671883
7838,6959.826656,1,0,1,0,0,0,0.014852514
7840,6959.86,1,0,1,0,0,0,0.014981187
7842,6959.893344,1,0,1,0,0,0,0.014990254
7844,6959.926656,1,0,1,0,0,0,0.014951896
7846,6959.96,1,0,1,0,0,0,0.014743717
7848,6959.993344,1,0,1,0,0,0,0.014819038
7850,6960.026656,1,0,1,0,0,0,0.014859139
7852,6960.06,1,0,1,0,0,0,0.014937599
7854,6960.093344,1,0,1,0,0,0,0.014715821
7856,6960.126656,1,0,1,0,0,0,0.014426742
7858,6960.16,1,0,1,0,0,0,0.014470679
7860,6960.193312,1,0,1,0,0,0,0.014396404
7862,6960.226656,1,0,1,0,0,0,0.014394661
7864,6960.259968,1,0,1,0,0,0,0.014312714
7866,6960.293312,1,0,1,0,0,0,0.014350026
